description,original_price,discount,reviews,ratings,sale,soldout,product_price
Vivo Amali Long Sleeve Waterfall - Chocolate,,,No reviews,0.00,,Available,"KSh3,750.00"
Vivo Amali Long Sleeve Waterfall - Navy Blue,,,No reviews,0.00,,Available,"KSh3,750.00"
Kidosho Adia Long Coat - Navy Blue,,,No reviews,0.00,,Available,"KSh6,950.00"
Vivo Basic Short Dolman Sweater - Mustard,,,No reviews,0.00,,Available,"KSh3,950.00"
Itikadi Biyo Kimono - Mint Abstract Print,,,No reviews,0.00,,Available,"KSh5,000.00"
Izulu Kerrio Kimono - Orange,,,No reviews,0.00,,Available,"KSh5,500.00"
Izulu Elerai Blazer - Blue,,,No reviews,0.00,,Available,"KSh8,500.00"
Vivo Basic Long Sleeve Faux Suede Jacket - White,"KSh3,250.00",10,No reviews,0.00,,Sold out,"KSh3,250.00"
Yarnings Crotchet Long Sleeved Tunic - Yellow,,,No reviews,0.00,,Available,"KSh2,800.00"
Vivo Tatili Long Sleeve Short Jacket - Black,,,No reviews,0.00,,Available,"KSh4,950.00"
Vivo Tatili Long Sleeve Short Jacket - Peach,,,No reviews,0.00,,Available,"KSh4,950.00"
Popular 21 Class Crop Jacket Blazer - Nude,"KSh2,800.00",20,No reviews,0.00,Sale,Available,"KSh2,800.00"
Popular 21 Class Crop Jacket Blazer - Black,"KSh2,800.00",20,No reviews,0.00,Sale,Available,"KSh2,800.00"
Popular 21 Oversized Blazer With Pockets - Rum Raisin,"KSh3,400.00",20,No reviews,0.00,Sale,Available,"KSh3,400.00"
Popular 21 Oversized Blazer With Pockets - Kalamata,"KSh3,400.00",20,No reviews,0.00,Sale,Available,"KSh3,400.00"
Popular 21 Oversized Blazer With Pockets - Black,"KSh3,400.00",20,No reviews,0.00,Sale,Available,"KSh3,400.00"
Vivo Basic Leila Short Waterfall  - Black,,,No reviews,0.00,,Available,"KSh3,250.00"
Vivo Neo May Sweater - Taupe,,,No reviews,0.00,,Available,"KSh3,950.00"
Dewuor Fern Cover Up - Yellow,,,No reviews,0.00,,Available,"KSh4,000.00"
Dewuor Tribal Kimono - Green,,,No reviews,0.00,,Available,"KSh4,500.00"
Dewuor Sunny Kimono - Blue,,,No reviews,0.00,,Available,"KSh4,200.00"
Nika Bonica Chariotte Long Ruffle Kimono - Brown,,,No reviews,0.00,,Available,"KSh6,500.00"
Slaks World Fashion Long Sleeve Checkered Blazer - Beige,"KSh3,300.00",30,No reviews,0.00,Sale,Available,"KSh3,300.00"
Slaks World Fashion Long Sleeve Checkered Blazer - Brown,"KSh3,300.00",30,No reviews,0.00,Sale,Available,"KSh3,300.00"
Vivo Long Sleeve Midi Waterfall - Taupe,,,No reviews,0.00,,Sold out,"KSh6,550.00"
Sayuri Flower Print Kimono - Green,"KSh3,400.00",30,No reviews,0.00,,Sold out,"KSh3,400.00"
Jf Designs Floral Kimono Wear - Pink,"KSh2,500.00",20,1 review,5.00,Sale,Available,"KSh2,500.00"
Vivo Long Sleeve Maxi Waterfall - Maroon,,,No reviews,0.00,,Available,"KSh6,950.00"
Vivo Cowl Sweater Top - Maroon,,,No reviews,0.00,,Sold out,"KSh4,950.00"
Liliadly 3/4 Jungle Kimono - Jungle green,,,No reviews,0.00,,Available,"KSh3,850.00"
TexStyle Sassy Shawl - Hot Pink,,,No reviews,0.00,,Available,"KSh3,500.00"
Anika Oversized Tight Knit Button Down Cardigan - Lilac,"KSh2,800.00",30,No reviews,0.00,,Sold out,"KSh2,800.00"
Anika Oversized Tight Knit Button Down Cardigan - Bright Mint,"KSh2,800.00",30,No reviews,0.00,Sale,Available,"KSh2,800.00"
Ascili Popping Poncho - Coral Peach,,,No reviews,0.00,,Available,"KSh3,900.00"
Vazi Afriq Ankara Kimono - Brown / Yellow,,,No reviews,0.00,,Available,"KSh4,000.00"
Vivo Dali Tie Kimono - Lime Green,,,No reviews,0.00,,Available,"KSh3,250.00"
Vivo Dali Tie Kimono - Grey,,,No reviews,0.00,,Available,"KSh3,250.00"
