description,original_price,discount,reviews,ratings,sale,soldout,product_price
Kipusa Jada Protein Nail Rescue,,,No reviews,0.00,,Available,"KSh5,000.00"
Kipusa Jada Collagen Socks,,,No reviews,0.00,,Available,"KSh1,000.00"
Kipusa Ber Ultra Blend,,,No reviews,0.00,,Available,"KSh9,500.00"
Kipusa Wild Earth Botanics Pure Lavender Hydrosol,,,No reviews,0.00,,Available,"KSh1,500.00"
Sheth Naturals Rose Water,,,No reviews,0.00,,Available,KSh340.00
Mosara Deep Treatment,,,No reviews,0.00,,Sold out,KSh450.00
Mandevu Beard Balm,"KSh1,400.00",20,1 review,5.00,Sale,Available,"KSh1,400.00"
