description,original_price,discount,reviews,ratings,sale,soldout,product_price
Ziatu Women's Combat Boots - Black,"KSh4,400.00",10,No reviews,0.00,Sale,Available,"KSh4,400.00"
Ziatu Women's Colour Pop Sneakers - Black/White,"KSh4,400.00",10,No reviews,0.00,Sale,Available,"KSh4,400.00"
Ziatu Women's 2-Tone Sneakers - Blue/Grey,"KSh4,400.00",10,1 review,5.00,Sale,Available,"KSh4,400.00"
Zola Checked Heels - Black,"KSh3,500.00",15,No reviews,0.00,Sale,Available,"KSh3,500.00"
Zola Golden Nude High Heels - Pink,"KSh3,500.00",15,No reviews,0.00,Sale,Available,"KSh3,500.00"
Cosy Shoes Ruched Slip In Sandals - Black,"KSh1,200.00",17,No reviews,0.00,Sale,Available,"KSh1,200.00"
Azu's Backstrap Sandals - 233 KUK - CHOCO/ORANGE/RED/GOLD,,,No reviews,0.00,,Available,"KSh3,300.00"
Azu's Beaded Backstrap Sandals - Cream / Gold,,,No reviews,0.00,,Available,"KSh3,300.00"
Lizola Vanessa Colorless - White,"KSh6,000.00",25,No reviews,0.00,Sale,Available,"KSh6,000.00"
Lizola Vicky with Star Gold - Nude,"KSh6,000.00",25,No reviews,0.00,Sale,Available,"KSh6,000.00"
Miss Kerre Fashions Paylan Flats - Peach,,,No reviews,0.00,,Available,"KSh4,500.00"
Azu Suzie Chain Zip Sandals - Chocolate / Orange / Red / Gold,,,No reviews,0.00,,Available,"KSh6,400.00"
Lizola Vicky with Gold Star - Black,"KSh6,000.00",25,No reviews,0.00,Sale,Available,"KSh6,000.00"
Lizola Dorah Strappy - Off White,"KSh6,000.00",25,No reviews,0.00,Sale,Available,"KSh6,000.00"
Lizola Dorah Strapy - Black,"KSh6,000.00",25,No reviews,0.00,Sale,Available,"KSh6,000.00"
Lizola Shalom Slim Heel - Silver,"KSh6,000.00",25,No reviews,0.00,Sale,Available,"KSh6,000.00"
The Fashion Frenzy Pumps - Pink Ombre,"KSh3,200.00",20,1 review,4.00,Sale,Available,"KSh3,200.00"
The Fashion Frenzy Pumps - Red Ombre,"KSh3,200.00",20,No reviews,0.00,Sale,Available,"KSh3,200.00"
The Fashion Frenzy Pumps - Rose Gold,"KSh3,200.00",15,No reviews,0.00,Sale,Available,"KSh3,200.00"
The Fashion Frenzy Low Heel Sandals - Gold,"KSh3,200.00",15,No reviews,0.00,Sale,Available,"KSh3,200.00"
The Fashion Frenzy Low Heel Sandals - Black,"KSh3,200.00",15,1 review,5.00,Sale,Available,"KSh3,200.00"
The Fashion Frenzy Kitten Heel Pump - Maroon,"KSh3,200.00",15,No reviews,0.00,Sale,Available,"KSh3,200.00"
Lizola Weza Double Half Martin Boots - Black,"KSh8,000.00",31,No reviews,0.00,Sale,Available,"KSh8,000.00"
Lizola Beautiful and Comfortable Ankle Boots Martin - Black,"KSh8,000.00",31,No reviews,0.00,Sale,Available,"KSh8,000.00"
Lizola Awsome Double Half Martin Boots - Black,"KSh8,000.00",31,No reviews,0.00,Sale,Available,"KSh8,000.00"
