description,original_price,discount,reviews,ratings,sale,soldout,product_price
Vivo Basic Sleeveless Cowl Sweater Top - Black,,,No reviews,0.00,,Available,"KSh2,550.00"
Vivo Basic Long Sleeved Bodysuit - Sea Green,"KSh2,250.00",10,No reviews,0.00,Sale,Available,"KSh2,250.00"
Vivo Bana Drop Shoulder Cowl Back Top - White,,,No reviews,0.00,,Available,"KSh2,550.00"
Merli Africa Zuhura Top - Navy Blue,"KSh4,650.00",34,No reviews,0.00,Sale,Available,"KSh4,650.00"
Vivo Basic Ribbed Turtleneck Top - Black,,,1 review,4.00,,Sold out,"KSh2,500.00"
Vivo Basic 3/4 Sleeved Double Layered Bodysuit - Orange,,,No reviews,0.00,,Available,"KSh2,750.00"
Silk House Collection Thera Top - Black / White Tribal Print,"KSh2,700.00",7,1 review,5.00,Sale,Available,"KSh2,700.00"
Merli Africa Lilly Top - Orange,"KSh3,100.00",37,No reviews,0.00,Sale,Available,"KSh3,100.00"
African yuva Mwasi Reversible Top - Red,,,No reviews,0.00,,Available,"KSh5,000.00"
Signature The Brand Solid One Shoulder Gigot Sleeve Draped Detail Top - White,"KSh3,200.00",22,No reviews,0.00,Sale,Available,"KSh3,200.00"
Vivo Basic Asymmetrical Angel Sleeve Top - White,,,No reviews,0.00,,Available,"KSh2,950.00"
Silk House Collection Veva Top - Beige Floral Print,"KSh2,900.00",14,1 review,5.00,Sale,Available,"KSh2,900.00"
Hessed Short Sleeved Sweeter Top - Grey,"KSh2,000.00",25,1 review,5.00,Sale,Available,"KSh2,000.00"
Lola Deep V Neck Bubble Sleeves Ribbed Bodysuit - Grey,"KSh2,060.00",30,No reviews,0.00,Sale,Available,"KSh2,060.00"
Vivo Fitness Bra Top - Black,,,1 review,5.00,,Available,"KSh1,550.00"
Vivo Fahari 3/4 Sleeve Shirred Shirt - Teal,,,No reviews,0.00,,Available,"KSh3,250.00"
Safari Huru Cap Sleeved Top - Maroon,"KSh3,250.00",85,1 review,5.00,,Sold out,"KSh3,250.00"
Lamazi Collections Tank Top - White,"KSh1,500.00",47,No reviews,0.00,Sale,Available,"KSh1,500.00"
Urban Zen Basic Tank Top - Teal,KSh950.00,50,No reviews,0.00,,Sold out,KSh950.00
Vivo Basic Satin Cap Sleeve Top - Black,,,1 review,5.00,,Available,"KSh2,550.00"
Vivo Basic Long Sleeved Bodysuit - Mustard,,,No reviews,0.00,,Available,"KSh2,250.00"
Vivo Tunu Long Sleeve Front Pleat Top - Orange,,,No reviews,0.00,,Available,"KSh2,950.00"
Vivo Arusha Dolman Top - Orange,"KSh2,750.00",10,No reviews,0.00,Sale,Available,"KSh2,750.00"
Merli Africa Lantern Sleeve Top - Light Pink,"KSh4,100.00",32,No reviews,0.00,Sale,Available,"KSh4,100.00"
Anika Light Weight Short Sleeved Button Down Shirt - Orange,"KSh1,500.00",30,1 review,3.00,Sale,Available,"KSh1,500.00"
Vivo Bana Batwing Top - Burgundy,,,No reviews,0.00,,Sold out,"KSh2,750.00"
Vivo Fahari Collared Wrap Top - Light Purple / Black Geometric Print,,,No reviews,0.00,,Available,"KSh3,250.00"
Vivo Fahari Collared Wrap Top - Black,,,No reviews,0.00,,Available,"KSh3,250.00"
Safari Huru Cap Sleeved Top - Black,"KSh3,250.00",85,No reviews,0.00,Sale,Available,"KSh3,250.00"
Jaidden Trendy Round Neck Top - White,,,1 review,5.00,,Available,"KSh1,800.00"
Urban Zen Cut Out Side Tie Maxi Top - Light Pink,"KSh1,365.00",50,1 review,5.00,,Sold out,"KSh1,365.00"
Zoya Basic Sleeveless Bodysuit - Sea Green,,,No reviews,0.00,,Available,"KSh1,950.00"
Smash By Kaly Dress Top With Side Slits - Pink Print,"KSh3,500.00",57,No reviews,0.00,Sale,Available,"KSh3,500.00"
Vivo Tatili Drop Shoulder Cowl Top - Taupe,,,1 review,1.00,,Available,"KSh2,550.00"
Silk House Collection Elvi Top - Green,"KSh2,000.00",25,2 reviews,4.50,Sale,Available,"KSh2,000.00"
Vivo Basic 3/4 Sleeve Top - Orange,,,No reviews,0.00,,Available,"KSh1,750.00"
Vivo Fitness Bra Top - Maroon,,,1 review,5.00,,Available,"KSh1,550.00"
Vivo Fitness Bra Top - Grey,,,No reviews,0.00,,Available,"KSh1,550.00"
Vivo Fitness Sleeveless Fitted Top - Black,,,No reviews,0.00,,Available,"KSh1,250.00"
Urban Zen Basic Tank Top - Lime Green,KSh950.00,50,No reviews,0.00,Sale,Available,KSh950.00
Vivo Thando 3/4 Flounce Sleeve Top - Blue,"KSh2,950.00",50,No reviews,0.00,Sale,Available,"KSh2,950.00"
Vivo Basic Val Cap Sleeve Top - Navy Blue,,,No reviews,0.00,,Available,"KSh1,750.00"
Liliadly Sleeveless Free Top - Black,,,No reviews,0.00,,Available,"KSh2,650.00"
Merli Africa Lilly Top - Red,"KSh3,000.00",35,1 review,5.00,Sale,Available,"KSh3,000.00"
Anika Light Weight Short Sleeved Button Down Shirt - Light Yellow,"KSh1,500.00",30,No reviews,0.00,,Sold out,"KSh1,500.00"
Zoya Party Long Sleeve Bodysuit - White,"KSh1,750.00",10,1 review,5.00,Sale,Available,"KSh1,750.00"
Zoya Party Long Sleeve Crop Top - Sky Blue,"KSh1,250.00",30,No reviews,0.00,Sale,Available,"KSh1,250.00"
Zoya Party Long Sleeve Crop Top - Pink,"KSh1,250.00",30,No reviews,0.00,Sale,Available,"KSh1,250.00"
Vivo Basic Crepe Cap Sleeved Top - Purple,,,1 review,5.00,,Available,"KSh2,550.00"
Safari Naima Halter Neck Tank Top - Black,"KSh1,250.00",50,1 review,4.00,Sale,Available,"KSh1,250.00"
Vivo Faraji Drop Shoulder Wrap Top - Navy Blue,"KSh4,250.00",50,No reviews,0.00,Sale,Available,"KSh4,250.00"
Lamazi Collections Tank Top - Blue,"KSh1,500.00",47,1 review,5.00,Sale,Available,"KSh1,500.00"
Jaidden Trendy Printed Fish Top - Black,,,No reviews,0.00,,Available,"KSh3,000.00"
Vivo Basic 3/4 Sleeved Bodysuit - Pale Blue,,,No reviews,0.00,,Available,"KSh2,250.00"
Askari Stand Collar Blouse Bls025 - Cream Animal Print,,,No reviews,0.00,,Available,"KSh2,080.00"
Zoya Basic Val Tank Top - White,,,No reviews,0.00,,Available,"KSh1,550.00"
Vivo Bissa Bishop Long Sleeved Top - Taupe,,,No reviews,0.00,,Available,"KSh3,550.00"
Zoya Basic Val Tank Top - Navy Blue,,,No reviews,0.00,,Available,"KSh1,550.00"
Vivo Laika 3/4 Bishop Sleeve Loose Top - Mint Green,,,No reviews,0.00,,Sold out,"KSh2,550.00"
Vivo Dua Long Bishop Sleeve Top - Dark Green,,,No reviews,0.00,,Sold out,"KSh2,950.00"
Anika Light Weight Button Down Long Sleeve Shirt  - Pastel Blue,"KSh1,750.00",30,No reviews,0.00,,Sold out,"KSh1,750.00"
Vivo Tatili Cap Sleeve Fitted Top - Black / Mustard Abstract Print,,,No reviews,0.00,,Available,"KSh2,750.00"
Vivo Tatili Cap Sleeve Fitted Top - Teal / Mustard Abstract Print,,,No reviews,0.00,,Available,"KSh2,750.00"
Vivo Zawadi Pleated Sleeve Top - Brown,,,No reviews,0.00,,Available,"KSh2,950.00"
Vivo Fitness Fitted Long Sleeve Top - White,,,No reviews,0.00,,Available,"KSh2,550.00"
Vivo Fitness Midriff Racer Back Top - Black,,,No reviews,0.00,,Available,"KSh1,750.00"
The Fashion Frenzy Laced Blouse - Jungle Green,,,No reviews,0.00,,Available,"KSh3,000.00"
Smash By Kaly Style Icon Sweater Top Slim Fit - Brown,"KSh2,950.00",49,No reviews,0.00,Sale,Available,"KSh2,950.00"
Urban Zen Oversized Tee - Light Pink,"KSh1,250.00",50,No reviews,0.00,Sale,Available,"KSh1,250.00"
Zoya Brave Maxi Slit Top - Purple,"KSh3,250.00",50,No reviews,0.00,Sale,Available,"KSh3,250.00"
