description,original_price,discount,reviews,ratings,sale,soldout,product_price
Enasha Rectangular Frame Sunglasses - Grey,,,No reviews,0.00,,Available,"KSh1,000.00"
Enasha Rectangular Frame Sunglasses - Black,,,No reviews,0.00,,Available,"KSh1,000.00"
Enasha Rectangular Frame Sunglasses - Black / Pink,,,No reviews,0.00,,Available,"KSh1,000.00"
Kuldra Pineapple Spike Handbag - Blue,,,No reviews,0.00,,Available,"KSh7,000.00"
Kuldra Pineapple Spike - Maroon,,,No reviews,0.00,,Available,"KSh7,000.00"
Kuldra Pineapple Spike Handbag - Black,,,No reviews,0.00,,Available,"KSh7,000.00"
Lizola Amelia sunflower swimwear 2pc - Yellow,"KSh3,000.00",33,No reviews,0.00,Sale,Available,"KSh3,000.00"
Lizola Isabella flowered swimwear 2pc - Green,"KSh3,000.00",33,No reviews,0.00,Sale,Available,"KSh3,000.00"
Afrodame Retro Brooch - Silver,,,No reviews,0.00,,Available,KSh800.00
Afrodame Pearl Brooch - Rose Gold,,,No reviews,0.00,,Available,KSh650.00
Afrodame Retro Brooch - Grey,,,No reviews,0.00,,Available,KSh650.00
Lizola Afrikanah Necklace - Brass,"KSh2,000.00",20,No reviews,0.00,Sale,Available,"KSh2,000.00"
Lizola Octavia Conshaped Necklace - Brass,"KSh2,000.00",20,No reviews,0.00,Sale,Available,"KSh2,000.00"
Lizola Ajuma Chocker - Brass,"KSh4,500.00",22,No reviews,0.00,Sale,Available,"KSh4,500.00"
Waridi Eyewear Round Sunglasses - Black,,,No reviews,0.00,,Available,"KSh2,500.00"
Waridi Eyewear Round Sunglasses - Brown,,,No reviews,0.00,,Available,"KSh2,500.00"
Waridi Cateye Sunglasses - Dark Purple,,,No reviews,0.00,,Available,"KSh3,000.00"
Waridi Eyewear Cateye Sunglasses - Light Purple,,,No reviews,0.00,,Available,"KSh3,000.00"
Waridi Eyewear Cateye Sunglasses - Champagne,,,No reviews,0.00,,Available,"KSh3,000.00"
Waridi Eyewear Round Sunglasses - Tortoise,,,No reviews,0.00,,Available,"KSh2,500.00"
Lizola Bancy Swimwear Polka - Black,"KSh3,000.00",33,No reviews,0.00,Sale,Available,"KSh3,000.00"
Lizola Lima Dangling Earrings - Brass,"KSh1,800.00",50,No reviews,0.00,Sale,Available,"KSh1,800.00"
Lizola Atwech Necklace - Brass,"KSh4,500.00",22,No reviews,0.00,Sale,Available,"KSh4,500.00"
Lizola Harper Swimwear 1pc - Black,"KSh3,000.00",33,No reviews,0.00,Sale,Available,"KSh3,000.00"
Afrodame Cashmere Scarf - Orange,,,No reviews,0.00,,Available,"KSh2,500.00"
Afrodame Cashmere Scarf - Green,,,No reviews,0.00,,Available,"KSh2,500.00"
Crafts With Meaning Canvas with Kikoi Tote Bag with Pouch - Red,,,No reviews,0.00,,Available,"KSh5,000.00"
Crafts With Meaning Canvas with Blue Kikoi Jumbo Bag - Purple,,,No reviews,0.00,,Available,"KSh6,000.00"
Lizola Jarnice Swimwear 2pc Glittery - Green,"KSh3,000.00",33,No reviews,0.00,Sale,Available,"KSh3,000.00"
Crafts With Meaning Denim Tote Bag with Pouch - Giraffe Print / Navy Blue,,,No reviews,0.00,,Available,"KSh3,500.00"
Crafts With Meaning Canvas with Kikoi Tote Bag With Pouch - Yellow,,,No reviews,0.00,,Available,"KSh5,000.00"
Crafts With Meaning Canvas with Kikoi Tote Bag with Pouch - Green,,,No reviews,0.00,,Available,"KSh5,000.00"
Crafts With Meaning Canvas with Kikoi Jumbo Travel Bag - Black,,,No reviews,0.00,,Available,"KSh6,000.00"
Crafts With Meaning Canvas With Kikoi Tote Bag With Pouch - Yellow,,,No reviews,0.00,,Available,"KSh5,000.00"
Crafts With Meaning Canvas with Kikoi Toiletry Pouch - Brown,,,No reviews,0.00,,Available,"KSh2,500.00"
Crafts With Meaning Canvas Shoe Bag - Blue,"KSh3,000.00",10,No reviews,0.00,Sale,Available,"KSh3,000.00"
Crafts With Meaning Canvas with Kikoi Toiletry Pouch - Brown,,,No reviews,0.00,,Available,"KSh2,500.00"
Crafts With Meaning Canvas with Kikoi Toiletry Pouch - Pink,,,No reviews,0.00,,Available,"KSh2,500.00"
Lizola Beyonce Swimwear 2pc - Maroon,"KSh3,000.00",33,No reviews,0.00,Sale,Available,"KSh3,000.00"
Lizola Miranda Swimwear 1pc - Green,"KSh3,000.00",33,No reviews,0.00,Sale,Available,"KSh3,000.00"
Lizola Angie Swimwear 1pc - Blue,"KSh3,000.00",33,No reviews,0.00,Sale,Available,"KSh3,000.00"
Lizola Sandra Sunflower Swimwear 2PC - Yellow,"KSh3,000.00",33,No reviews,0.00,Sale,Available,"KSh3,000.00"
Lizola Claris Swim Wear 1pc - Black,"KSh3,000.00",17,No reviews,0.00,Sale,Available,"KSh3,000.00"
Luxaltra Tsuki Tote - Ecru,,,No reviews,0.00,,Available,"KSh9,000.00"
Luxaltra Tsuki Tote - Nero (Black),,,No reviews,0.00,,Available,"KSh9,000.00"
Luxaltra Makali Shoulder Bag - Ecru,,,No reviews,0.00,,Available,"KSh6,500.00"
Luxaltra Makali Shoulder Bag - Burnt Sienna,,,No reviews,0.00,,Available,"KSh6,500.00"
Slaks World Fashion 3 Layer Necklace1 - Gold,KSh850.00,10,No reviews,0.00,Sale,Available,KSh850.00
Slaks World Fashion Medium Size Messenger Bag - Brown,"KSh4,200.00",25,No reviews,0.00,Sale,Available,"KSh4,200.00"
Slaks World Fashion 3 Layer Necklace - Gold,KSh850.00,10,No reviews,0.00,Sale,Available,KSh850.00
Slaks World Fashion Bohemian Style Necklace - Gold,KSh800.00,10,No reviews,0.00,Sale,Available,KSh800.00
Slaks World Fashion Flower Design Necklace - Silver,KSh850.00,10,No reviews,0.00,Sale,Available,KSh850.00
Slaks World Fashion Bowtie Style Necklace - Silver,KSh800.00,10,No reviews,0.00,Sale,Available,KSh800.00
