description,original_price,discount,reviews,ratings,sale,soldout,product_price
Vivo Basic Straight Skirt - Maroon,,,No reviews,0.00,,Available,"KSh2,950.00"
Nursing Mama Calista Official Pencil Skirt - Black,,,No reviews,0.00,,Available,"KSh3,500.00"
Purple Earth J Crew Stripped Terry Pencil Skirt - Black / White Stripes,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Floral Pencil Skirt - Pink / Green,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Lace Peplum Skirt - Navy / White Floral,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Pinstripe Flounce Knit Pencil Skirt - Striped,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth LOFT Sailor Pocket Pencil Skirt - Off White,,,No reviews,0.00,,Available,"KSh4,500.00"
2NU Draft B&W Skirt - Black / White,,,No reviews,0.00,,Available,"KSh4,000.00"
Vazi Afriq Ankara Wrap Skirt - White / Green Print,"KSh2,500.00",32,No reviews,0.00,Sale,Available,"KSh2,500.00"
Vazi Afriq Ankara Wrap Skirt - Blue / Yellow,"KSh2,500.00",32,No reviews,0.00,Sale,Available,"KSh2,500.00"
Vazi Afriq Skater Skirt - Blue / Yellow,"KSh3,750.00",27,No reviews,0.00,Sale,Available,"KSh3,750.00"
Dewuor Front Zipped Romper Skirt - Green,"KSh4,000.00",13,No reviews,0.00,Sale,Available,"KSh4,000.00"
Vazi Afriq Ankara Wrap Skirt - Pink / Blue,"KSh2,500.00",40,No reviews,0.00,Sale,Available,"KSh2,500.00"
Twilight Collections Skirt Suits 3 Pieces Straight - Green,"KSh15,000.00",30,No reviews,0.00,Sale,Available,"KSh15,000.00"
Dewuor Stretch Skirt - Grey,,,No reviews,0.00,,Available,"KSh2,500.00"
Dewuor Nimo Skirt - Purple,,,No reviews,0.00,,Available,"KSh2,500.00"
Dewuor Denim Stretch Skirt - Blue,,,No reviews,0.00,,Available,"KSh3,500.00"
Dewuor Sunshine Skirt - Yellow,,,No reviews,0.00,,Available,"KSh2,500.00"
Simbaress Corduroy Midi Skirt - Olive Green,,,No reviews,0.00,,Available,"KSh3,250.00"
Exclusive Styles Meet the Parents Skirt Set - Orange,,,No reviews,0.00,,Available,"KSh7,350.00"
Dewuor Skater Outfit - Yellow,,,No reviews,0.00,,Available,"KSh3,800.00"
Dewuor Skater Combo - Green,,,No reviews,0.00,,Available,"KSh1,900.00"
The Fashion Frenzy Pleated Skirt - Cream,"KSh2,500.00",15,No reviews,0.00,Sale,Available,"KSh2,500.00"
Ankara By Chimzy Skirt Sets - Green / Cream,"KSh5,500.00",19,No reviews,0.00,Sale,Available,"KSh5,500.00"
Vazi Afriq Ankara Wrap Skirt - Beige / Green,"KSh2,500.00",40,No reviews,0.00,,Sold out,"KSh2,500.00"
