description,original_price,discount,reviews,ratings,sale,soldout,product_price
Vivo Basic Faux Pocket Leisure Pants - Dark Green,,,No reviews,0.00,,Available,"KSh3,500.00"
Lizola Pendo Palazo - Jungle Green,"KSh5,000.00",20,No reviews,0.00,Sale,Available,"KSh5,000.00"
Vivo Neza Straight Leg Pants - Taupe,,,No reviews,0.00,,Available,"KSh2,950.00"
Vivo Amali Wide Leg Rib Pants - Lilac,,,No reviews,0.00,,Available,"KSh2,750.00"
Anika Boot-Cut Dress Pants With Zipper on the side - Navy Blue,"KSh2,300.00",30,No reviews,0.00,Sale,Available,"KSh2,300.00"
Anika Clip Shorts with Angular Pockets - Pink,"KSh1,800.00",30,No reviews,0.00,Sale,Available,"KSh1,800.00"
Anika Double Stitch Detail Pockets - Pink,"KSh2,100.00",30,No reviews,0.00,Sale,Available,"KSh2,100.00"
Anika Belt Button Shorts - Navy,"KSh2,100.00",30,No reviews,0.00,Sale,Available,"KSh2,100.00"
Anika No Waistband Clip Shorts with Angular Pockets - Light Blue,"KSh1,700.00",30,No reviews,0.00,Sale,Available,"KSh1,700.00"
Vivo Fitness Shorts - Black / White Geometric Print,,,No reviews,0.00,,Available,"KSh1,450.00"
Vivo Fahari Shorts - Black,,,No reviews,0.00,,Available,"KSh2,950.00"
Unaku Cape Jumpsuit - Purple,"KSh4,500.00",44,1 review,5.00,Sale,Available,"KSh4,500.00"
Zoya Athleisure Biker Shorts - Animal Print,"KSh1,500.00",30,1 review,5.00,Sale,Available,"KSh1,500.00"
Safari Corduroy Skinny Jeans - Navy Blue,"KSh2,950.00",97,No reviews,0.00,,Sold out,"KSh2,950.00"
Popular 21 Cut Out Drawstring Jumpsuit - Black ,"KSh2,950.00",20,No reviews,0.00,Sale,Available,"KSh2,950.00"
The Fashion Frenzy Trouser - Black,"KSh3,500.00",10,No reviews,0.00,Sale,Available,"KSh3,500.00"
Zoya Brave Fleece Cargo Joggers (Regular Length) - Dark Grey,"KSh3,500.00",50,No reviews,0.00,,Sold out,"KSh3,500.00"
African Yuva Palazzo Pants - Red,,,No reviews,0.00,,Available,"KSh5,700.00"
Elsie Glamour Hazel Unisex Track Suit - Cyan,,,No reviews,0.00,,Available,"KSh5,000.00"
Anika Straight Leg Dress Pants With Zipper At Back - Dark Red,"KSh2,300.00",30,1 review,5.00,Sale,Available,"KSh2,300.00"
Vivo Basic Palazzo Pants - Burgundy,,,No reviews,0.00,,Available,"KSh3,950.00"
Anika Clip Shorts with Angular Pockets - Red,"KSh1,800.00",30,No reviews,0.00,Sale,Available,"KSh1,800.00"
Anika Clip Shorts with Angular Pockets - Orange,"KSh1,800.00",30,1 review,5.00,Sale,Available,"KSh1,800.00"
Anika No Waistband Clip Shorts with Angular Pockets - Black,"KSh1,700.00",30,No reviews,0.00,Sale,Available,"KSh1,700.00"
Vivo Fitness Shorts - Black / Mustard Geometric Print,,,No reviews,0.00,,Available,"KSh1,450.00"
Vivo Zari Strappy Jumpsuit - Navy Blue,"KSh4,950.00",30,1 review,5.00,Sale,Available,"KSh4,950.00"
Vivo Nana Sleeveless Asymmetrical Jumpsuit - Dark Green,,,No reviews,0.00,,Available,"KSh5,950.00"
Popular 21 Cami Rompers - Black ,"KSh2,300.00",20,No reviews,0.00,Sale,Available,"KSh2,300.00"
Zoya Brave Sweater Pants - Sea Green,"KSh3,500.00",50,No reviews,0.00,Sale,Available,"KSh3,500.00"
Elsie Glamour Sidai Wide Leg Jumpsuit - Purple,"KSh4,400.00",50,No reviews,0.00,Sale,Available,"KSh4,400.00"
Vivo Basic Faux Pocket Leisure Pants - Royal Blue,,,No reviews,0.00,,Available,"KSh3,500.00"
Aramay Orchid Stand Collar Jumpsuit - Orange,,,No reviews,0.00,,Available,"KSh4,900.00"
Vivo Amali Wide Leg Rib Pants - Pink,,,No reviews,0.00,,Available,"KSh2,750.00"
Anika No Waistband Clip Shorts with Angular Pockets - Brown,"KSh1,700.00",30,No reviews,0.00,Sale,Available,"KSh1,700.00"
Vivo Tatili Wide Leg Pants - Peach,,,No reviews,0.00,,Available,"KSh4,250.00"
Anika Boot-Cut Dress Pants With Zipper on the side - Dark Red,"KSh2,300.00",30,No reviews,0.00,Sale,Available,"KSh2,300.00"
Vivo Fasi Sleeveless Straight Leg Jumpsuit - Navy Blue,,,No reviews,0.00,,Available,"KSh4,950.00"
Vivo Fasi Diamond Cut Cap Sleeve Jumpsuit - Navy Blue,,,No reviews,0.00,,Available,"KSh5,950.00"
Vivo Fasi Diamond Cut Cap Sleeve Jumpsuit- Black,,,No reviews,0.00,,Sold out,"KSh5,950.00"
Anika Clip Shorts with Angular Pockets -Black,"KSh1,800.00",30,No reviews,0.00,Sale,Available,"KSh1,800.00"
Vivo Fitness Strappy Cat Suit - Black,,,No reviews,0.00,,Available,"KSh2,950.00"
Mati Apparel Priya Drapping Pants - Orange,,,No reviews,0.00,,Available,"KSh4,700.00"
Zoya Brave Sweater Pants - Black,"KSh3,500.00",50,No reviews,0.00,Sale,Available,"KSh3,500.00"
Zoya Brave Corduroy Joggers - Navy Blue,"KSh3,500.00",50,1 review,5.00,Sale,Available,"KSh3,500.00"
Elsie Glamour Hawaii Jumpsuit - Contemporary Print (Pink),"KSh5,800.00",30,1 review,5.00,Sale,Available,"KSh5,800.00"
Elsie Glamour Hawaii Jumpsuit - Contemporary Print (Green),"KSh5,800.00",30,No reviews,0.00,Sale,Available,"KSh5,800.00"
African Yuva Lagos Infinity Jumpsuit - Brown,,,No reviews,0.00,,Available,"KSh9,750.00"
Salok Zuri Jumpsuit -  Navy Blue,"KSh4,750.00",20,No reviews,0.00,Sale,Available,"KSh4,750.00"
Elsie Glamour Luna Official Pants - Grey,"KSh2,550.00",5,No reviews,0.00,Sale,Available,"KSh2,550.00"
Infy Knit Wear Full Length Pants - Green,"KSh2,500.00",20,No reviews,0.00,Sale,Available,"KSh2,500.00"
Anika Clip Shorts with Angular Pockets - Dark Green,"KSh1,800.00",30,No reviews,0.00,Sale,Available,"KSh1,800.00"
Vivo Fasi Sleeveless Straight Leg Jumpsuit - Maroon,,,No reviews,0.00,,Available,"KSh4,950.00"
Anika Boot-Cut Dress Pants With Zipper on the side - Brown,"KSh2,300.00",30,No reviews,0.00,Sale,Available,"KSh2,300.00"
Popular 21 Thermal Binding Hem Shorts - Pink,"KSh1,700.00",20,No reviews,0.00,Sale,Available,"KSh1,700.00"
Vivo Jamila Wide Leg Pants - Navy Blue,"KSh4,250.00",50,No reviews,0.00,Sale,Available,"KSh4,250.00"
Vivo Arusha Off Shoulder Jumpsuit - Navy Blue,,,1 review,5.00,,Available,"KSh5,250.00"
Purple Earth Printed Sweatpants - Camo,,,No reviews,0.00,,Available,"KSh3,900.00"
Zoya Brave Wide Leg Pants - Orange / Red Abstract Print,"KSh3,500.00",50,No reviews,0.00,Sale,Available,"KSh3,500.00"
Popular 21 Cut Out Drawstring Jumpsuit - Wine ,"KSh2,950.00",20,No reviews,0.00,,Sold out,"KSh2,950.00"
Salok Taloni jumpsuit - Red / White Pinstripes,"KSh4,300.00",20,No reviews,0.00,Sale,Available,"KSh4,300.00"
Zoya Brave Corduroy Joggers - Raspberry,"KSh3,500.00",50,1 review,5.00,Sale,Available,"KSh3,500.00"
